commentaire,rating,date,platform
good app's,5,2026-01-21 18:46:25,Google Play
"""Meta"" pssh... Zuckerberg needs to get off Trump's tip and be a good richer than filfth real boy. Or perhaps Meta needs an actual course in actual metaphysics?? Nah..just money and data hungry greed machines. Thanks for the first few years though. Peace",2,2026-01-21 18:46:13,Google Play
nice,5,2026-01-21 18:45:42,Google Play
👍,5,2026-01-21 18:45:40,Google Play
Tikrok hsusuuusus6,5,2026-01-21 18:44:30,Google Play
Nice,5,2026-01-21 18:43:41,Google Play
excellent website,5,2026-01-21 18:43:32,Google Play
I'm getting facebook not running error after install,5,2026-01-21 18:42:56,Google Play
⭐✨⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5,2026-01-21 18:42:39,Google Play
want to make you happy,5,2026-01-21 18:41:06,Google Play
amazing 😍🤩,5,2026-01-21 18:39:51,Google Play
"😇Thanks Facebook, Peeps!💯",5,2026-01-21 18:39:40,Google Play
𝐞𝐱𝐜𝐞𝐥𝐥𝐞𝐧𝐭,5,2026-01-21 18:38:40,Google Play
Super Facebook update,5,2026-01-21 18:38:20,Google Play
Always good,5,2026-01-21 18:34:17,Google Play
"I created a profile for the first time in a decade and after the first three friend requests you rate limit me? it's been ten hours and I still can't add any friends. on Facebook. because I sent three or four friend requests in a row? lol. cool app, guys. they're people I know. just have me confirm my email or something. genuinely bizarre.",1,2026-01-21 18:34:16,Google Play
excellent,5,2026-01-21 18:32:41,Google Play
best flatform social media,5,2026-01-21 18:31:21,Google Play
very nice where is the maybe button?,5,2026-01-21 18:30:02,Google Play
great job,5,2026-01-21 18:28:35,Google Play
بے سی,4,2026-01-21 18:28:11,Google Play
nice,5,2026-01-21 18:28:10,Google Play
Mark Zuckerben I Kingsley appreciate your lights in some illiterate.,5,2026-01-21 18:27:30,Google Play
Nice one Facebook,5,2026-01-21 18:26:53,Google Play
amirali,5,2026-01-21 18:26:48,Google Play
nice app,5,2026-01-21 18:26:44,Google Play
Amazing work!!!,5,2026-01-21 18:25:15,Google Play
lovely,5,2026-01-21 18:23:24,Google Play
Qazi U r king of 90's,5,2026-01-21 18:23:07,Google Play
💜💜💜...!!!...,5,2026-01-21 18:21:50,Google Play
