commentaire,rating,source
easy order. easy return,5,Google Play
Just got a new Samsung Galaxy tablet and the Amazon app is not compatible! Extremely frustrating and very disappointing!,1,Google Play
"I picked up my new t.v at Best Buy!! the same day, I ordered it on.",5,Google Play
حرامية,1,Google Play
Nice platform to do shopping but it's disappointing that most items are not delivered to Oman.,3,Google Play
👌👍👌👍,5,Google Play
cant create account,1,Google Play
don't know how I lived without it,5,Google Play
I can't use my Amazon gift card for a paycheck when I don't need to spend money and they aren't allowing it so this recent update has been horrible,1,Google Play
good,5,Google Play
Always satisfied,5,Google Play
shows fomo notifications every time the screen of my phone turns on. disabled all notifications and still happened anyways.,1,Google Play
love the convince,5,Google Play
Amazon is 👍 great!!,5,Google Play
me molesta que si dice el producto q llega el dia anterior no llegue...si dice que llega cumplan no mientan porque bien caro que se paga el prime para tan mal servicio It bothers me that if you say the product that arrives the day before doesn't arrive... if you say it arrives comply don't lie because it's expensive to pay the prime for such bad service,2,Google Play
"It stopped working on my Tab A7(not compatible)and Play Store won't let me install it after I uninstalled. If you don't want to lose a very good customer Amazon, I suggest you fix this issue.",1,Google Play
it's perfect,5,Google Play
"keeps getting worse, keeps getting slower, keeps not listening to me when I filter.",1,Google Play
"app is lagging and amazon product search sucks to find the best items , gotta search through tons of knock off items to find the good ones",2,Google Play
plis Bangladesh come 🥹🥹🥹🥹,5,Google Play
"they have 1 good thing which the fast delivery, other than the lately they keep accusing customers with things we haven't done, I had 2 sellers scammed me and Amazon haven't done anything, and they got upset I did dispute, they getting worse and worse",1,Google Play
great stuff and quick delivery,5,Google Play
App no longer is available for my Samsung Tablet. (yet works on my note 20 ultra) Developer/Amazon: Will this be fixed anytime soon? Using the browser's page is way too busy when your used to the app. (ADHD brain!) I NEVER thought I'd see the day when they were steering you AWAY from installing an app!,1,Google Play
You get what you want fast and easy what more do you need. 👍🆗,5,Google Play
Great App!,5,Google Play
"Please fix for Android 16! Some screens have not implemented screen insets, buttons overlap the statusbar and cannot be interacted with. Please manually apply screen margin to the top on broken screens or update all views to compose Material Design 3 or newer. I am suck on app open due to this layout issue. Please act with some haste.",1,Google Play
"is there seriously no way to put this app into a darker or dark mode?? The apps screen is so white and bright on 90% or more of each and every page! no matter what is searched for and looked at.. if it was able to be put in a darker mode that's something different than the very VERY high contrast/brightness of the apps white usage on the background/surroundings within, than i would put my rating to the 4-5 star range. I",3,Google Play
"Not for tablets anymore?!! I've been using this app for years on my tablets, and it started glitching and locking up frequently, so I thought I'll uninstall it and reinstall it. I can't reinstall it. Google play says it's not compatible with tablets now and offers no other app in its place. why??! Now I'm stuck with the online website shopping experience, which is terrible! Customer service was a dead end. This will deter me from shopping on Amazon and may force me to cancel prime.",1,Google Play
great experience,5,Google Play
Amazon as a company was good once about ten years ago. Years later Still horrible and getting worse by the second. Prime is garbage and so is their customer service as well. Avoid at all costs. The app is a reflection of the company. Every update makes it worse and unusable. Zero improvements in years.,1,Google Play
"Always a good experience. Problems are solved efficiently and without resentment. Friendly, polite, knowledgeable staff.",5,Google Play
"This is a rating for both the app and Amazon as a whole - App becomes more agressively user-unfriendly every year. When I look for a specific game or movie, I don't need a sponsored result of dildos, laundry soap and pet food. Shipping is free and fast when you DO NOT have a Prime membership. Prices are higher than a lot of small indie stores. Most items on Amazon look to be drop ship garbage from ""stores"" like XCGSD or ZAGFRT. Amazon is no longer the good deal site. It's trash all the way down",1,Google Play
always on time and in good on all merch,5,Google Play
so probably have to uninstall this app doesn't work as intended in the brackets is the post I put nearly a year ago an your still not fixed it(options don't even work in the settings getting notifications for options I've turned off repetitively all day) are you too busy trying to push stuff on people what's unneeded,1,Google Play
worst delivery staff and customer services,1,Google Play
auto downloads even after being deleted,1,Google Play
yeah,5,Google Play
Just keeps crashing on me.,1,Google Play
"Amazon are going downhill fast, poor deliveries and terrible customer service coupled with the adverts they force upon people i would advise thinking about joining Prime as it is no longer worth the charge.",1,Google Play
"When I receive a notification on a Alexa powered device and tell the device to add a item to my cart, it doesn't always do it. it would be nice if this app had a notifications section so I can review notifications.",1,Google Play
Terrible customer service (when you can actually manage to get through to someone)! Latest order was supposed to be delivered to my local Post Office but when I went to collect the item it wasn't there. Amazon are refusing to give me a refund.,1,Google Play
"fast checkout, no fuss on getting want her or me want",5,Google Play
chat bot will not allow a human to respond to questions it can't answer.,1,Google Play
"the only problem I have is with the way that Amazon ships now. I like the various types of shipping but they're not matching the item to a package. I had a package of chips placed in the paper bag of course the project was completely ruined. And I bought a thin ""tin' sign and placed it in a non-padded bag, the sign was warped and dented.",3,Google Play
you can't cancel membership. 🤯,1,Google Play
Good 👍😊👍😊👍😊,5,Google Play
can't access to change my phone number. Amazon won't recognize my password.,1,Google Play
كويس بس بطلوا تجيبوا الاوردر غلط,5,Google Play
"Amazon needs a dark mode to their app. The pages are too bright, I turn down the brightness but it doesn't help and the lettering are too light and thin, or allow the page to be blown up so I can expand the letters",3,Google Play
great for rural life.,5,Google Play
Su servicio de entrega deja mucho que desear,1,Google Play
Love it the way of process,5,Google Play
"Absolute disaster, how can I just simply browse. Any option that gives me the ability to have a clear view of available products is not accessible.",1,Google Play
I love it 😍❤️,5,Google Play
"After repeatedly canceling an order I confirmed and reconfirmed that yes I did indeed want, they decided to cancel because I had a duplicate cancelation. I'll take my money to a brick and mortar store at actually wants and needs my money.",1,Google Play
"goods ordered, arrived on time, also good on price.",5,Google Play
Amazon app is junk and its work done to the app because you can do anything and they just cancelled your orders,2,Google Play
"Would love to be able to find a live person to chat with, call, email to solve a problem instead of an endless loop of virtual answers.",1,Google Play
"I used to love Amazon, but what an absolute cluster now... Rufus is a serious pain, popping up with absolutely no option to turn off the stupid AI bs. Also, who doesn't love paying for services that aren't guaranteed or honored? I used to pay for Prime, and for three months now, it's been a minimum delivery time of 4 days, if not longer. I canceled my prime as it now doesn't matter if I pay for it or not, my shipments arrive in the same time frame regardless...",2,Google Play
expensive,1,Google Play
EL SERVICIO A CLIENTE ES UNA BASURA. ME COMUNIQUE CON ELLOS POR UN PAQUETE QUE DICEN HABERME ENTREGADO Y NO ME DIERON SOLUCIÓN.,1,Google Play
"I ask Amazon to STOP showing what we did NOT ask. Example: I look for ONLY ENTERIC COATED capsules, show me only ENTERIC COATED. Stop trying to push products into our eyes that we are not looking for. STICK to what we type ONLY !!!! Same with the brands, uf I ask one specific brand, STOP showing me what I NEVER asked.",2,Google Play
"This app has gotten extremely slow. my phone is not the newest but it's also not ancient. I've done all the things, checked my internet, cleared the cache, reinstalled etc. but just switching in between options in a listing is extremely laggy.",1,Google Play
I have always had great experience and service here,5,Google Play
Amazon has what I need. Tried of driving to a store and not finding what I need.,5,Google Play
Easy to find what you want. Easy to compare sellers.,5,Google Play
For the last 2 days Amazon keeps glitching as soon as I try to search for anything and just closes. It said to update the app but it's already updated and I have cleared the cache also with no luck.,1,Google Play
App keeps crashing due to a bug. Please fix!,3,Google Play
don't have useless apps on my phone,1,Google Play
سرقه علني بمعني الكلمه؛ كنسلوا طلباتي canceled my orders و خدوا مني الكوبونات اللي هي عباره عن استرجاع مبالغ من طلب قديم جه غلط؛ و لما جيت اكلمهم قعدوا يرموني علي بعض و اديني شهر مخدتش منهم حق و لا باطل لحد ما مليت و قفلت حسابي و قولت حسبي الله و نعم الوكيل فيهم ... مقاطعه,1,Google Play
there is no customer support..,1,Google Play
happy with this amp 😃😁 6:14 am 2/25/26 Dorothy Riggs,5,Google Play
Pages are not user-friendly. It is too hard to find help or get answers to your questions.,3,Google Play
"Why is Amazon shopping no longer compatible with my tablet. This needs to be fixed. Was using my tablet to check on an Amazon order I placed 2 days ago and now this. What is needed to make the app work again on my tablet. every time something works fine, it gets messed with or taken down. I am not happy about this.",1,Google Play
النهاردة 25/2/2026 الدليفري رفض توصيل الشحنة وأمازون حالته مزرية,1,Google Play
"Amazon shopping great ,didn't no you could by food off there. But when my clients send me gift cards for anything, now I do my food shopping for paymentsx",5,Google Play
this app just ain't working anymore,1,Google Play
"The app has recently become a huge pain, sending clickbait push notifications multiple times per hour. At this point it's just spam, uninstalled until they fix it",1,Google Play
quit it,1,Google Play
excellent,5,Google Play
Good 👍,5,Google Play
app is buggy and is shutting down suddenly. also the prices/ quality is no longer viable,1,Google Play
"Previous iterations of this app were really good. Unfortunately, the latest update has broken some of this functionality. Wish lists created prior to this new app being installed no longer show up in the app, and the Kindle Unlimited functionality is much worse than it used to be. The new app seems to focus a lot more on shipping for goods, with books given much less attention.",2,Google Play
"so easy, almost anything you need.",5,Google Play
can be checked and changed be careful 🧐 will hurt your whole 🌎 mind ur self,1,Google Play
"I don't want or have any need for your story. I've got my own and you ain't in it. for reels. if there was a way to opt out of giving any stars, I would have given two of those to you.",1,Google Play
"Since I started ordering stuff on Amazon ALL my orders have been with a mistaken mobile number, which means I need to call the delivery company every time to let them know. It has been so that I forgot about an order and never made the call => never received the package and was returned. This is absurd... How do you mistake my mobile number for every order and I know I have given you the right one?",2,Google Play
كذا مره اطلب حاجات متجيش زي الوصف والجوده سيئه وكمان مشترط عليا اني ادفع قبل الاستلام طبعا انا مسحت الابليكشن,1,Google Play
"their policy is so silly. if it's dormant for more than a year, the account will be locked forever and you have to either create a new email address for a new account or use mobile number to create a new account.",1,Google Play
Dark mode please!!!!!,2,Google Play
just opened account,5,Google Play
very cool when I can use it.,5,Google Play
I was an Amazon Vine Member. I wrote product reviews for 4+yrs. We were encouraged (indirectly) to lie b/c of the way the rules were setup for submitting reviews. Many reviews are denied for using language & vocab that most accurately describes honest product experiences. Amazon operates in a legal grey area. Now they refuse me access to my tax documents. I reported them to the IRS & the Attorney General & am working on filing a lawsuit for various reasons. This app is untrustworthy!,1,Google Play
stop choosing my payment method and stick to my default account. I don't need AI help.,4,Google Play
"Every time I search for books, I purposely choose PRINT, hardcover or paperback; yet it always chooses audiobooks!! Make it work accurately!! This has been happening for at least 6 months.",1,Google Play
I'm shamed that Amazon Shopping is not supported any longer on Tablets. They will lose a lot of customers this way. I will start shopping elsewhere unless they fix this asap.,1,Google Play
everything you'll ever want at your fingertips 🎉 my favorite way to shop,5,Google Play
"i keep hitting the ""add to upcoming delivery"" while trying to scroll through items, this is a horrible feature and has been causing SO many issues!!",1,Google Play
worst app ever freezes every time you try to open your orders tab,1,Google Play
always amazing support and services I truly appreciate Amazon,5,Google Play
Great service!!,5,Google Play
Love Prime ❤️ fast delivery 👌,5,Google Play
buying iphone 17 pro max accessories just because reasonable price 😍,5,Google Play
why doesn't it allow me to uninstall this app,1,Google Play
it won't load past the pickup screen junk app fix your software,1,Google Play
"why is this app now saying it's no longer compatible with my tablet, won't let me download it all. It's the only Amazon app responding this way. id really appreciate a response and solution to this.. I sure noticed they had no problem taking my monthly prime payment but where's my app to access the service I'm subscribed to???",1,Google Play
"Intrigued by the attached app,the very appropriate moment I viewed the advertised link,my thoughts were highly adjusted positively so,I did not hesitate to complete the signup program so that I can receive my product,few days later my parcel was delivered 😀. Safe and secured. I m really happy to have the opportunity to use this app .keep the good service up.",5,Google Play
Best place in the world to buy things from,5,Google Play
